<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.18	01:41:00	4868.51	4871.12	4868.46	4871.12	86	0	19
2026.02.18	01:42:00	4871.16	4873.30	4870.76	4873.17	128	0	18
2026.02.18	01:43:00	4873.14	4874.37	4872.36	4874.03	122	0	19
2026.02.18	01:44:00	4873.95	4876.93	4873.54	4876.28	169	0	16
2026.02.18	01:45:00	4876.27	4876.69	4872.76	4873.46	170	0	22
2026.02.18	01:46:00	4873.47	4873.47	4871.00	4872.54	110	0	22
2026.02.18	01:47:00	4872.53	4872.54	4869.13	4871.20	113	0	20
2026.02.18	01:48:00	4871.16	4871.25	4866.12	4866.58	169	0	19
2026.02.18	01:49:00	4866.62	4867.87	4864.12	4864.87	176	0	19
2026.02.18	01:50:00	4865.39	4865.86	4859.81	4860.02	242	0	16
2026.02.18	01:51:00	4860.01	4864.99	4858.74	4860.05	213	0	18
2026.02.18	01:52:00	4860.15	4862.11	4858.63	4861.25	199	0	20
2026.02.18	01:53:00	4861.20	4861.25	4854.24	4856.61	214	0	18
2026.02.18	01:54:00	4856.65	4858.95	4856.65	4858.09	61	0	16
2026.02.18	01:55:00	4858.22	4858.23	4854.73	4855.71	212	0	17
2026.02.18	01:56:00	4855.74	4860.56	4855.24	4860.56	147	0	18
2026.02.18	01:57:00	4860.67	4862.66	4859.08	4861.23	100	0	21
2026.02.18	01:58:00	4861.31	4861.94	4859.46	4859.55	95	0	22
2026.02.18	01:59:00	4859.63	4860.42	4857.13	4859.09	122	0	20
2026.02.18	02:00:00	4859.22	4862.85	4858.23	4862.48	242	0	19
2026.02.18	02:01:00	4862.73	4865.43	4862.73	4865.38	161	0	18
2026.02.18	02:02:00	4865.32	4869.56	4864.71	4865.33	258	0	19
2026.02.18	02:03:00	4865.41	4866.54	4861.58	4861.89	253	0	19
2026.02.18	02:04:00	4861.50	4863.59	4860.37	4863.10	166	0	23
2026.02.18	02:05:00	4863.28	4868.30	4863.28	4864.41	232	0	18
2026.02.18	02:06:00	4864.46	4865.44	4861.49	4865.24	226	0	22
2026.02.18	02:07:00	4865.21	4865.21	4862.24	4862.24	133	0	21
2026.02.18	02:08:00	4862.37	4862.37	4860.15	4862.01	153	0	20
2026.02.18	02:09:00	4862.08	4867.64	4862.08	4866.78	220	0	19
2026.02.18	02:10:00	4866.81	4867.16	4864.19	4864.81	281	0	22
2026.02.18	02:11:00	4864.77	4868.66	4864.77	4867.60	290	0	22
2026.02.18	02:12:00	4867.59	4869.40	4865.86	4868.85	254	0	21
2026.02.18	02:13:00	4868.86	4868.86	4864.70	4864.86	206	0	20
2026.02.18	02:14:00	4864.33	4864.33	4861.59	4864.14	220	0	22
2026.02.18	02:15:00	4864.13	4866.87	4863.54	4866.43	164	0	23
2026.02.18	02:16:00	4866.49	4867.81	4865.03	4867.81	150	0	23
2026.02.18	02:17:00	4867.82	4869.61	4865.88	4866.37	265	0	19
2026.02.18	02:18:00	4866.42	4866.79	4865.10	4866.11	107	0	21
2026.02.18	02:19:00	4866.14	4866.41	4864.92	4865.56	147	0	23
2026.02.18	02:20:00	4865.53	4865.93	4860.72	4861.38	212	0	16
2026.02.18	02:21:00	4861.59	4862.77	4858.53	4862.59	207	0	19
2026.02.18	02:22:00	4862.57	4867.87	4862.47	4865.92	219	0	19
2026.02.18	02:23:00	4865.91	4869.22	4865.09	4869.22	244	0	16
2026.02.18	02:24:00	4869.23	4871.07	4869.07	4869.99	207	0	18
2026.02.18	02:25:00	4870.00	4872.40	4868.04	4871.92	301	0	20
2026.02.18	02:26:00	4871.88	4872.03	4870.02	4870.09	149	0	18
2026.02.18	02:27:00	4870.08	4871.99	4869.79	4871.99	131	0	18
2026.02.18	02:28:00	4872.00	4872.00	4869.95	4870.31	170	0	22
2026.02.18	02:29:00	4870.32	4870.35	4869.24	4870.27	137	0	22
2026.02.18	02:30:00	4870.28	4871.75	4868.05	4868.92	169	0	20
2026.02.18	02:31:00	4868.93	4870.20	4868.55	4870.10	120	0	22
2026.02.18	02:32:00	4870.71	4873.02	4870.71	4872.76	183	0	18
2026.02.18	02:33:00	4872.77	4877.28	4872.09	4877.14	240	0	18
2026.02.18	02:34:00	4877.15	4879.26	4874.58	4875.38	175	0	18
2026.02.18	02:35:00	4875.37	4879.33	4874.74	4878.03	186	0	18
2026.02.18	02:36:00	4877.99	4880.35	4876.99	4877.29	120	0	16
2026.02.18	02:37:00	4877.26	4879.67	4876.95	4876.95	123	0	20
2026.02.18	02:38:00	4877.05	4877.08	4875.13	4875.57	201	0	20
2026.02.18	02:39:00	4875.60	4876.46	4875.36	4876.07	159	0	22
2026.02.18	02:40:00	4876.00	4878.02	4875.95	4877.55	210	0	22
2026.02.18	02:41:00	4877.56	4881.80	4877.42	4881.22	270	0	18
2026.02.18	02:42:00	4881.24	4882.02	4877.75	4878.13	261	0	18
2026.02.18	02:43:00	4878.14	4879.35	4876.92	4878.20	224	0	18
2026.02.18	02:44:00	4878.24	4878.73	4877.72	4878.36	238	0	20
2026.02.18	02:45:00	4878.37	4879.55	4877.62	4877.62	278	0	22
2026.02.18	02:46:00	4877.58	4879.03	4876.99	4878.74	234	0	22
2026.02.18	02:47:00	4878.72	4879.08	4875.80	4876.43	206	0	18
2026.02.18	02:48:00	4876.52	4879.11	4875.89	4876.04	222	0	21
2026.02.18	02:49:00	4876.01	4878.45	4875.70	4878.38	175	0	20
2026.02.18	02:50:00	4878.33	4881.03	4877.61	4880.09	143	0	18
2026.02.18	02:51:00	4880.12	4881.53	4879.67	4880.32	114	0	18
2026.02.18	02:52:00	4880.33	4882.56	4878.88	4881.16	182	0	19
2026.02.18	02:53:00	4881.15	4881.80	4878.16	4879.19	133	0	18
2026.02.18	02:54:00	4879.27	4879.94	4878.40	4878.42	92	0	19
2026.02.18	02:55:00	4878.41	4880.29	4877.38	4880.23	122	0	19
2026.02.18	02:56:00	4880.24	4881.04	4879.26	4879.56	100	0	20
2026.02.18	02:57:00	4879.53	4880.80	4877.01	4877.21	185	0	18
2026.02.18	02:58:00	4877.20	4878.46	4875.02	4875.39	331	0	18
2026.02.18	02:59:00	4875.94	4876.57	4872.11	4874.73	401	0	17
2026.02.18	03:00:00	4874.74	4880.93	4874.40	4880.50	375	0	17
2026.02.18	03:01:00	4880.50	4882.34	4879.48	4881.23	295	0	17
2026.02.18	03:02:00	4881.22	4886.65	4881.22	4883.66	272	0	16
2026.02.18	03:03:00	4883.64	4888.93	4883.41	4886.26	359	0	16
2026.02.18	03:04:00	4886.20	4886.24	4881.45	4884.09	242	0	18
2026.02.18	03:05:00	4884.16	4885.05	4882.41	4885.01	193	0	16
2026.02.18	03:06:00	4885.06	4888.15	4884.05	4887.42	228	0	16
2026.02.18	03:07:00	4887.50	4888.12	4886.83	4887.64	212	0	16
2026.02.18	03:08:00	4887.74	4890.07	4886.75	4887.51	239	0	16
2026.02.18	03:09:00	4887.57	4888.17	4885.93	4887.99	177	0	16
2026.02.18	03:10:00	4887.82	4887.82	4883.25	4883.65	230	0	16
2026.02.18	03:11:00	4883.71	4885.28	4883.47	4884.25	150	0	16
2026.02.18	03:12:00	4883.83	4885.90	4883.65	4885.55	176	0	16
2026.02.18	03:13:00	4885.54	4891.32	4885.34	4888.08	277	0	17
2026.02.18	03:14:00	4888.07	4888.11	4885.42	4886.74	183	0	16
2026.02.18	03:15:00	4886.85	4888.31	4886.79	4886.96	212	0	18
2026.02.18	03:16:00	4886.98	4891.63	4886.88	4888.59	244	0	17
2026.02.18	03:17:00	4888.57	4889.02	4887.84	4888.19	110	0	18
2026.02.18	03:18:00	4888.20	4888.55	4885.69	4885.73	84	0	17
2026.02.18	03:19:00	4885.83	4885.90	4883.22	4885.47	190	0	19
2026.02.18	03:20:00	4885.45	4887.24	4885.00	4885.17	141	0	18
2026.02.18	03:21:00	4885.07	4885.21	4883.27	4884.46	96	0	16
2026.02.18	03:22:00	4884.45	4885.54	4884.01	4884.18	119	0	18
2026.02.18	03:23:00	4884.16	4885.10	4883.77	4884.11	96	0	17
2026.02.18	03:24:00	4884.10	4884.41	4883.63	4884.24	123	0	18
2026.02.18	03:25:00	4884.21	4885.26	4881.43	4884.99	236	0	18
2026.02.18	03:26:00	4884.98	4888.75	4884.93	4888.75	254	0	16
2026.02.18	03:27:00	4888.70	4888.91	4887.00	4887.75	192	0	17
2026.02.18	03:28:00	4887.72	4888.07	4886.16	4886.55	132	0	16
2026.02.18	03:29:00	4886.54	4887.17	4886.50	4887.11	52	0	17
2026.02.18	03:30:00	4887.05	4887.26	4884.45	4884.93	83	0	18
2026.02.18	03:31:00	4885.17	4888.35	4883.90	4886.74	196	0	18
2026.02.18	03:32:00	4886.81	4888.73	4886.29	4887.96	190	0	18
2026.02.18	03:33:00	4887.94	4890.62	4887.57	4889.95	206	0	17
2026.02.18	03:34:00	4889.90	4890.60	4888.42	4888.46	121	0	18
2026.02.18	03:35:00	4888.47	4890.52	4888.47	4890.46	122	0	18
2026.02.18	03:36:00	4890.43	4893.03	4889.33	4889.36	224	0	18
2026.02.18	03:37:00	4889.35	4890.52	4888.57	4888.70	204	0	18
2026.02.18	03:38:00	4888.68	4889.06	4887.51	4888.56	210	0	18
2026.02.18	03:39:00	4888.57	4888.71	4887.58	4887.62	122	0	18
2026.02.18	03:40:00	4887.61	4888.60	4887.57	4887.94	115	0	17
2026.02.18	03:41:00	4887.96	4888.76	4887.96	4888.04	70	0	17
2026.02.18	03:42:00	4888.03	4888.48	4887.19	4888.05	120	0	18
2026.02.18	03:43:00	4888.07	4889.78	4887.61	4889.41	95	0	18
2026.02.18	03:44:00	4889.42	4889.52	4885.90	4885.93	154	0	16
2026.02.18	03:45:00	4885.92	4885.92	4883.17	4884.07	240	0	17
2026.02.18	03:46:00	4884.11	4885.55	4883.90	4884.22	205	0	19
2026.02.18	03:47:00	4884.20	4886.49	4884.20	4885.93	218	0	16
2026.02.18	03:48:00	4885.94	4888.42	4885.92	4888.15	153	0	16
2026.02.18	03:49:00	4888.26	4888.27	4886.82	4886.83	119	0	18
2026.02.18	03:50:00	4886.82	4886.87	4885.25	4885.52	118	0	18
2026.02.18	03:51:00	4885.53	4885.83	4883.73	4884.68	54	0	16
2026.02.18	03:52:00	4884.67	4886.53	4882.86	4886.05	129	0	16
2026.02.18	03:53:00	4886.06	4886.06	4884.90	4885.18	40	0	18
2026.02.18	03:54:00	4885.15	4885.52	4884.94	4885.16	53	0	18
2026.02.18	03:55:00	4885.15	4887.95	4885.09	4887.58	79	0	18
2026.02.18	03:56:00	4887.58	4887.67	4885.03	4887.37	100	0	17
2026.02.18	03:57:00	4887.34	4889.71	4885.86	4889.66	106	0	17
2026.02.18	03:58:00	4889.68	4892.68	4888.98	4888.98	152	0	17
2026.02.18	03:59:00	4888.96	4890.02	4888.51	4890.02	131	0	19
2026.02.18	04:00:00	4889.93	4890.37	4886.54	4889.40	186	0	17
2026.02.18	04:01:00	4889.51	4891.64	4889.37	4891.64	168	0	17
2026.02.18	04:02:00	4891.97	4892.42	4890.59	4892.37	139	0	17
2026.02.18	04:03:00	4892.32	4892.98	4890.17	4890.78	146	0	17
2026.02.18	04:04:00	4890.80	4897.12	4889.75	4895.64	210	0	18
2026.02.18	04:05:00	4895.66	4899.43	4895.61	4896.39	319	0	17
2026.02.18	04:06:00	4896.32	4896.54	4895.10	4895.92	165	0	18
2026.02.18	04:07:00	4895.97	4900.74	4895.91	4900.03	266	0	17
2026.02.18	04:08:00	4900.00	4900.38	4898.43	4899.91	130	0	18
2026.02.18	04:09:00	4899.83	4900.91	4899.23	4899.93	158	0	16
2026.02.18	04:10:00	4899.94	4900.38	4898.79	4899.00	148	0	16
2026.02.18	04:11:00	4899.00	4900.71	4897.07	4898.25	146	0	18
2026.02.18	04:12:00	4898.37	4898.68	4897.72	4897.99	66	0	17
2026.02.18	04:13:00	4897.89	4901.68	4896.82	4900.19	98	0	17
2026.02.18	04:14:00	4900.03	4900.03	4898.45	4898.63	82	0	17
2026.02.18	04:15:00	4898.56	4899.45	4897.91	4898.47	77	0	18
2026.02.18	04:16:00	4898.52	4899.19	4897.20	4897.20	41	0	16
2026.02.18	04:17:00	4897.18	4899.63	4896.36	4899.63	116	0	16
2026.02.18	04:18:00	4899.67	4900.57	4896.33	4897.10	233	0	18
2026.02.18	04:19:00	4897.14	4897.63	4896.51	4896.52	93	0	18
2026.02.18	04:20:00	4896.55	4896.99	4895.38	4896.60	101	0	19
2026.02.18	04:21:00	4896.41	4896.78	4895.52	4896.76	106	0	17
2026.02.18	04:22:00	4896.71	4898.19	4896.51	4898.19	88	0	18
2026.02.18	04:23:00	4898.15	4899.37	4897.92	4899.29	62	0	18
2026.02.18	04:24:00	4899.20	4900.89	4898.99	4900.42	93	0	18
2026.02.18	04:25:00	4900.51	4904.35	4900.34	4901.37	219	0	18
2026.02.18	04:26:00	4901.33	4902.50	4900.72	4901.72	112	0	18
2026.02.18	04:27:00	4901.70	4903.17	4900.72	4901.84	156	0	18
2026.02.18	04:28:00	4901.83	4904.35	4901.83	4902.23	153	0	17
2026.02.18	04:29:00	4902.29	4903.89	4900.92	4900.95	197	0	16
2026.02.18	04:30:00	4901.05	4903.52	4900.75	4903.42	152	0	16
2026.02.18	04:31:00	4903.41	4904.26	4901.92	4902.98	144	0	18
2026.02.18	04:32:00	4903.03	4903.66	4900.79	4901.39	176	0	18
2026.02.18	04:33:00	4901.39	4903.69	4901.37	4903.69	119	0	21
2026.02.18	04:34:00	4903.70	4905.56	4903.07	4905.16	182	0	18
2026.02.18	04:35:00	4905.17	4906.60	4905.14	4906.17	134	0	17
2026.02.18	04:36:00	4906.16	4906.24	4904.04	4905.71	91	0	17
2026.02.18	04:37:00	4905.72	4905.79	4904.63	4905.53	61	0	18
2026.02.18	04:38:00	4905.45	4905.45	4903.62	4903.79	87	0	16
2026.02.18	04:39:00	4903.96	4905.22	4903.83	4905.17	24	0	18
2026.02.18	04:40:00	4905.15	4905.34	4904.13	4904.88	48	0	18
2026.02.18	04:41:00	4904.74	4904.97	4904.62	4904.91	28	0	18
2026.02.18	04:42:00	4904.89	4905.63	4904.89	4905.35	54	0	18
2026.02.18	04:43:00	4905.29	4905.88	4905.29	4905.88	27	0	18
2026.02.18	04:44:00	4905.84	4905.88	4904.82	4905.02	42	0	16
2026.02.18	04:45:00	4905.13	4906.47	4905.13	4905.57	40	0	18
2026.02.18	04:46:00	4905.58	4905.58	4904.60	4904.83	63	0	18
2026.02.18	04:47:00	4904.80	4905.21	4903.63	4903.63	50	0	17
2026.02.18	04:48:00	4903.64	4904.24	4903.55	4903.73	59	0	17
2026.02.18	04:49:00	4903.71	4904.16	4903.69	4903.78	39	0	18
2026.02.18	04:50:00	4903.77	4904.52	4903.56	4904.52	71	0	18
2026.02.18	04:51:00	4904.49	4905.32	4904.37	4905.29	83	0	18
2026.02.18	04:52:00	4905.27	4905.90	4904.62	4905.54	70	0	17
2026.02.18	04:53:00	4905.55	4907.29	4905.55	4907.28	47	0	17
2026.02.18	04:54:00	4907.05	4907.36	4905.63	4906.09	88	0	16
2026.02.18	04:55:00	4906.08	4906.08	4904.39	4904.88	53	0	16
2026.02.18	04:56:00	4904.84	4905.34	4903.82	4903.82	123	0	16
2026.02.18	04:57:00	4903.82	4904.51	4903.31	4903.33	99	0	18
2026.02.18	04:58:00	4903.30	4904.19	4902.90	4903.54	79	0	17
2026.02.18	04:59:00	4903.52	4905.31	4903.45	4905.31	64	0	17
2026.02.18	05:00:00	4905.60	4907.58	4904.86	4905.18	141	0	17
2026.02.18	05:01:00	4905.17	4905.66	4904.22	4905.42	73	0	18
2026.02.18	05:02:00	4905.39	4909.40	4905.33	4909.03	198	0	16
2026.02.18	05:03:00	4909.04	4909.76	4908.47	4908.83	131	0	17
2026.02.18	05:04:00	4908.84	4914.11	4908.84	4913.33	241	0	16
2026.02.18	05:05:00	4913.33	4914.65	4912.93	4913.33	353	0	17
2026.02.18	05:06:00	4913.30	4916.34	4913.30	4915.42	186	0	16
2026.02.18	05:07:00	4915.36	4915.55	4913.23	4914.68	180	0	17
2026.02.18	05:08:00	4914.76	4914.89	4913.68	4913.68	113	0	17
2026.02.18	05:09:00	4913.69	4914.95	4913.61	4914.83	111	0	17
2026.02.18	05:10:00	4914.82	4915.65	4914.71	4915.36	126	0	17
2026.02.18	05:11:00	4915.39	4915.48	4914.81	4915.31	151	0	17
2026.02.18	05:12:00	4915.32	4915.41	4913.26	4913.26	102	0	17
2026.02.18	05:13:00	4913.25	4913.26	4911.62	4911.71	91	0	16
2026.02.18	05:14:00	4911.72	4912.65	4911.72	4912.65	82	0	18
2026.02.18	05:15:00	4912.66	4915.21	4912.66	4915.01	95	0	17
2026.02.18	05:16:00	4915.00	4915.28	4913.03	4913.25	65	0	18
2026.02.18	05:17:00	4912.93	4915.00	4912.85	4915.00	78	0	17
2026.02.18	05:18:00	4915.06	4916.54	4914.58	4916.51	143	0	16
2026.02.18	05:19:00	4916.55	4916.55	4914.70	4915.30	165	0	17
2026.02.18	05:20:00	4915.29	4916.93	4915.27	4916.93	130	0	16
2026.02.18	05:21:00	4916.73	4919.61	4916.37	4918.91	143	0	16
2026.02.18	05:22:00	4918.96	4919.55	4918.03	4918.29	179	0	16
2026.02.18	05:23:00	4918.28	4919.51	4917.07	4918.94	177	0	16
2026.02.18	05:24:00	4918.98	4919.53	4918.68	4919.05	102	0	16
2026.02.18	05:25:00	4919.00	4919.50	4918.86	4919.41	99	0	17
2026.02.18	05:26:00	4919.42	4919.77	4919.18	4919.58	92	0	17
2026.02.18	05:27:00	4919.46	4919.73	4918.07	4919.66	191	0	17
2026.02.18	05:28:00	4919.69	4919.82	4919.05	4919.60	110	0	17
2026.02.18	05:29:00	4919.59	4919.87	4918.55	4919.36	164	0	16
2026.02.18	05:30:00	4919.37	4920.73	4918.69	4919.45	228	0	16
2026.02.18	05:31:00	4919.47	4919.90	4917.94	4919.05	149	0	16
2026.02.18	05:32:00	4919.04	4919.05	4917.90	4918.28	73	0	16
2026.02.18	05:33:00	4918.29	4918.94	4918.21	4918.58	98	0	17
2026.02.18	05:34:00	4918.59	4918.97	4916.61	4916.62	117	0	16
2026.02.18	05:35:00	4916.72	4918.73	4916.72	4918.19	114	0	17
2026.02.18	05:36:00	4918.20	4918.65	4917.95	4918.65	62	0	17
2026.02.18	05:37:00	4918.62	4918.66	4917.99	4918.11	85	0	17
2026.02.18	05:38:00	4918.12	4918.19	4917.42	4917.47	39	0	16
2026.02.18	05:39:00	4917.49	4917.85	4917.02	4917.24	78	0	16
2026.02.18	05:40:00	4917.22	4917.88	4917.21	4917.62	72	0	16
2026.02.18	05:41:00	4917.61	4918.42	4917.51	4917.97	70	0	18
2026.02.18	05:42:00	4917.94	4918.19	4916.96	4917.34	79	0	18
2026.02.18	05:43:00	4917.35	4918.47	4917.29	4918.03	98	0	18
2026.02.18	05:44:00	4918.04	4918.99	4917.83	4918.73	96	0	17
2026.02.18	05:45:00	4918.72	4918.82	4918.62	4918.69	35	0	18
2026.02.18	05:46:00	4918.76	4918.80	4917.83	4918.50	90	0	16
2026.02.18	05:47:00	4918.51	4918.80	4918.08	4918.08	71	0	17
2026.02.18	05:48:00	4918.09	4919.02	4917.97	4918.54	81	0	17
2026.02.18	05:49:00	4918.57	4920.04	4918.13	4919.73	127	0	17
2026.02.18	05:50:00	4919.81	4920.43	4919.78	4920.29	69	0	17
2026.02.18	05:51:00	4920.31	4920.34	4918.24	4919.82	118	0	17
2026.02.18	05:52:00	4919.86	4920.11	4918.80	4918.97	106	0	18
2026.02.18	05:53:00	4918.94	4919.45	4918.91	4919.45	63	0	19
2026.02.18	05:54:00	4919.43	4920.61	4919.42	4920.51	71	0	17
2026.02.18	05:55:00	4920.49	4922.17	4920.45	4921.25	153	0	16
2026.02.18	05:56:00	4921.27	4921.85	4920.59	4921.24	173	0	16
2026.02.18	05:57:00	4921.25	4921.27	4919.61	4919.93	163	0	16
2026.02.18	05:58:00	4919.92	4920.45	4919.62	4920.25	112	0	18
2026.02.18	05:59:00	4920.19	4921.97	4920.08	4920.75	209	0	16
2026.02.18	06:00:00	4920.74	4921.19	4920.68	4920.70	128	0	17
2026.02.18	06:01:00	4920.75	4920.89	4919.90	4919.90	52	0	17
2026.02.18	06:02:00	4919.89	4920.41	4919.24	4920.12	137	0	18
2026.02.18	06:03:00	4920.11	4920.11	4918.75	4919.19	181	0	17
2026.02.18	06:04:00	4919.18	4921.41	4918.37	4921.36	184	0	18
2026.02.18	06:05:00	4921.37	4922.30	4921.23	4921.74	139	0	17
2026.02.18	06:06:00	4921.75	4923.21	4921.75	4922.74	109	0	17
2026.02.18	06:07:00	4922.74	4924.94	4922.74	4924.41	130	0	18
2026.02.18	06:08:00	4924.42	4928.32	4924.42	4925.36	262	0	16
2026.02.18	06:09:00	4925.39	4926.83	4924.64	4925.32	214	0	18
2026.02.18	06:10:00	4925.32	4930.15	4925.32	4929.49	248	0	16
2026.02.18	06:11:00	4929.51	4929.68	4927.60	4928.45	178	0	16
2026.02.18	06:12:00	4928.44	4928.46	4927.18	4927.51	120	0	17
2026.02.18	06:13:00	4927.52	4930.77	4926.54	4930.56	125	0	18
2026.02.18	06:14:00	4930.60	4931.10	4928.66	4928.66	188	0	17
2026.02.18	06:15:00	4928.65	4929.26	4926.54	4927.65	118	0	17
2026.02.18	06:16:00	4927.78	4927.81	4926.52	4926.74	80	0	16
2026.02.18	06:17:00	4926.73	4926.74	4924.88	4925.16	66	0	18
2026.02.18	06:18:00	4925.15	4927.77	4925.04	4927.21	124	0	18
2026.02.18	06:19:00	4927.20	4927.20	4926.71	4926.84	78	0	18
2026.02.18	06:20:00	4926.83	4927.21	4925.94	4926.33	79	0	17
2026.02.18	06:21:00	4926.76	4928.41	4926.27	4928.40	97	0	18
2026.02.18	06:22:00	4928.41	4928.79	4927.91	4928.05	64	0	18
2026.02.18	06:23:00	4928.05	4929.37	4927.53	4928.73	84	0	18
2026.02.18	06:24:00	4928.80	4929.04	4928.74	4928.82	59	0	18
2026.02.18	06:25:00	4928.81	4929.17	4928.60	4928.82	75	0	18
2026.02.18	06:26:00	4928.81	4929.91	4928.81	4929.91	74	0	18
2026.02.18	06:27:00	4929.89	4930.89	4929.68	4930.87	71	0	18
2026.02.18	06:28:00	4930.86	4932.74	4930.42	4932.34	142	0	17
2026.02.18	06:29:00	4932.33	4933.52	4931.67	4933.08	252	0	17
2026.02.18	06:30:00	4933.00	4934.13	4933.00	4933.90	177	0	18
2026.02.18	06:31:00	4933.91	4934.96	4933.79	4934.30	152	0	16
2026.02.18	06:32:00	4934.27	4934.56	4933.89	4934.55	141	0	18
2026.02.18	06:33:00	4934.52	4936.89	4934.52	4935.13	179	0	16
2026.02.18	06:34:00	4935.14	4936.01	4934.59	4935.64	212	0	18
2026.02.18	06:35:00	4935.63	4936.23	4934.69	4934.79	148	0	17
2026.02.18	06:36:00	4934.78	4935.98	4934.72	4935.91	162	0	18
2026.02.18	06:37:00	4935.90	4935.92	4934.55	4934.78	90	0	16
2026.02.18	06:38:00	4934.69	4935.36	4933.05	4934.68	114	0	16
2026.02.18	06:39:00	4934.67	4934.67	4932.19	4933.17	142	0	18
2026.02.18	06:40:00	4933.18	4933.97	4931.42	4932.18	140	0	17
2026.02.18	06:41:00	4932.19	4933.28	4931.55	4933.01	110	0	17
2026.02.18	06:42:00	4933.01	4934.01	4932.75	4933.98	120	0	20
2026.02.18	06:43:00	4933.87	4933.87	4932.46	4932.60	145	0	20
2026.02.18	06:44:00	4932.59	4933.43	4932.56	4933.42	62	0	17
2026.02.18	06:45:00	4933.38	4933.76	4932.90	4933.57	76	0	19
2026.02.18	06:46:00	4933.58	4933.64	4932.94	4932.99	73	0	19
2026.02.18	06:47:00	4933.04	4934.70	4932.45	4934.00	120	0	18
2026.02.18	06:48:00	4933.86	4934.91	4933.38	4934.34	137	0	18
2026.02.18	06:49:00	4934.35	4937.80	4934.26	4937.79	165	0	18
2026.02.18	06:50:00	4937.75	4938.60	4937.36	4938.08	162	0	18
2026.02.18	06:51:00	4938.09	4938.23	4936.39	4937.62	96	0	16
2026.02.18	06:52:00	4937.59	4938.12	4937.39	4938.12	109	0	18
2026.02.18	06:53:00	4938.11	4940.33	4937.98	4938.58	144	0	17
2026.02.18	06:54:00	4938.64	4938.85	4936.41	4936.51	110	0	16
2026.02.18	06:55:00	4936.51	4936.51	4933.44	4934.26	129	0	18
